zip,count
95128,112
95121,132
95122,117
95123,236
95124,212
95120,175
34139,10
34138,2
34135,577
34134,346
46110,2
46111,2
48770,3
46107,62
46105,9
48768,23
46106,27
48767,3
46103,3
48766,1
95158,1
46104,2
48765,2
36782,6
46102,1
48763,11
34120,436
22134,1
10154,1
36784,29
48762,3
48761,1
36786,4
48760,5
48759,3
48757,6
48756,8
48755,3
95148,219
10163,1
10162,4
34110,342
95140,1
34117,126
34116,153
34114,408
34113,350
34112,398
36773,1
48750,31
36776,3
34119,400
73703,99
73701,78
61722,1
61723,7
61724,1
61725,4
61730,2
61731,1
61732,4
61733,2
61734,8
61736,4
61726,8
61727,32
61728,4
61729,3
73726,1
73724,1
73722,1
61740,4
61741,5
61742,4
61744,2
85708,3
61745,12
85706,175
61747,4
61737,3
85715,87
61738,15
85716,116
61739,15
85713,165
85714,36
85711,168
85712,116
85710,260
73717,16
73716,1
73737,12
73735,3
73734,2
73730,2
61752,16
61753,11
61754,1
61755,16
61756,4
61748,8
85704,142
61749,6
85705,158
58103,59
58102,54
85701,18
58105,1
58104,189
73729,1
73728,6
61760,4
73742,13
61761,112
73741,1
61764,38
61769,3
61759,4
85737,120
85735,55
85736,16
85730,207
97707,30
73739,3
73738,6
73759,4
97703,92
61770,6
73754,3
61771,4
97702,123
61772,2
97701,97
61773,1
61774,2
73750,15
61776,5
61777,3
85719,122
61778,1
85718,115
73749,1
71107,64
97737,3
71108,31
71105,57
73768,2
97739,54
71106,66
97738,3
71103,13
73766,1
97733,1
71104,41
71101,16
97735,1
73763,2
97734,12
73762,3
73761,1
73760,1
97730,2
46180,3
85757,122
85755,95
85756,170
46186,4
85750,135
46183,1
46184,53
46181,15
46182,7
71118,55
71119,26
71115,30
71112,73
71110,1
73773,5
71111,88
73772,10
73771,1
97720,14
85739,82
85748,100
85749,94
85746,209
85747,176
85745,184
85742,195
85743,163
46176,86
85741,146
46175,2
46172,6
46173,34
71109,35
46171,6
24934,2
24931,2
48906,65
12957,3
12958,3
36925,4
12955,1
12956,3
12959,2
12953,21
36921,1
36922,1
12952,2
24946,2
24945,2
24941,2
24944,1
10305,67
10304,56
12969,1
10307,15
12966,3
36915,1
10306,73
12967,4
10309,42
10308,51
36919,2
12960,3
12961,1
10301,36
12964,1
12965,2
10303,31
12962,14
10302,26
36912,2
24916,1
24918,2
24910,8
12935,2
12936,2
36904,7
12934,5
12939,1
36907,1
12937,3
36908,9
12932,2
12930,1
24925,3
61910,6
61911,6
61912,2
12946,14
12944,6
12945,1
12942,2
12943,1
12941,8
73901,2
61920,33
12913,1
61913,5
12914,1
61914,1
12912,11
12917,4
61917,2
12918,6
12916,5
12910,1
24901,13
12919,9
61930,2
61931,1
61932,1
61933,5
12924,1
61924,5
61925,3
12928,3
61928,2
12929,3
61929,4
12926,6
12927,2
12920,4
12921,6
61943,5
61944,32
61936,1
61937,10
85911,1
61938,66
73933,5
73932,5
73931,1
61951,19
61953,13
61955,1
61956,9
12903,3
12901,73
61949,1
85901,109
58301,13
46327,26
46323,84
46324,78
46321,91
46322,73
46320,27
46312,60
46310,40
46311,90
46319,93
46303,77
46304,109
46301,1
46307,276
24970,10
22310,96
22311,29
22312,64
24974,1
22314,97
24977,1
22315,89
24976,2
12993,5
12992,10
12997,6
12998,1
12996,3
48933,10
24981,3
24983,2
24986,6
24951,2
24954,7
12979,4
12972,13
10310,30
12970,1
10312,100
10314,112
12974,3
22305,35
22306,47
48912,31
22307,33
48911,80
22308,41
48910,93
22309,90
24962,1
22301,42
48917,51
22302,33
24963,4
48916,1
22303,46
48915,33
22304,94
12989,1
12983,16
12980,1
12981,7
12986,16
95219,153
97876,2
97875,9
95215,76
71245,3
97877,3
58274,1
95210,166
97874,1
58276,1
71241,15
95212,140
58270,2
58273,1
58272,1
83239,1
58278,5
83234,3
83237,7
83236,3
83233,1
46280,30
95206,260
95207,216
97868,5
71259,1
95209,229
95202,11
97865,1
95203,67
95204,173
97867,3
46278,34
71256,2
95205,123
71253,1
71254,7
71251,23
97862,20
34293,803
58282,1
34292,225
71250,3
34291,78
83228,2
V5C 1T7,1
83226,2
83220,1
83221,60
46268,72
71268,3
71269,20
95236,55
95237,15
34286,202
95231,7
34285,294
95232,4
95233,4
71263,20
71260,9
71261,5
95230,1
34289,37
34288,136
34287,315
83252,10
83254,11
46260,103
83251,4
83250,6
95228,52
46259,51
95224,3
95225,4
97886,8
71277,5
46256,75
95227,4
34275,358
71275,3
95220,31
97883,3
97882,6
95222,36
97885,8
95223,79
71270,57
83245,5
46254,117
46250,56
95257,8
95258,18
95254,6
95255,7
71282,14
71280,7
95251,4
95252,109
34269,50
34268,1
83278,1
34266,111
34265,1
83274,23
46240,62
83277,1
46241,110
83276,12
46239,120
46237,141
46235,77
95246,10
46236,104
48897,3
95247,26
48896,1
95248,1
46234,106
48895,23
95249,24
95242,168
34251,42
71295,18
34250,10
95245,14
71291,68
95240,169
71292,50
46231,45
48894,3
48893,12
83263,16
48892,14
48891,8
48890,3
83262,1
83261,1
46228,69
46229,99
46226,129
48889,2
46227,157
48888,7
46224,80
46225,33
48886,4
46222,97
48885,3
48884,3
34242,229
34241,155
34240,240
34243,353
46220,141
48883,8
46221,117
48881,12
48880,8
46217,137
46218,127
48879,18
10280,27
48878,2
46216,17
48877,2
10282,15
48876,11
46214,80
48875,21
34231,332
46219,133
34239,146
34238,411
34237,90
34236,163
34235,134
34234,170
34233,168
34232,255
48872,17
83286,2
48871,5
48870,1
83287,2
83281,1
61840,1
61841,3
61842,11
61843,9
61844,2
61845,1
